experience,test_score,salary
11,71,117700
2,69,70000
3,67,62900
9,76,106100
7,88,99800
7,93,83400
5,75,86200
11,66,98700
6,74,84600
6,74,83800
4,94,70000
3,99,65500
10,61,100600
2,49,57200
13,100,109700
8,71,80300
5,79,82000
10,76,111300
4,59,70100
3,63,74100
9,71,102700
6,85,85600
13,74,119900
5,88,63200
2,59,63700
10,87,101500
9,73,106000
11,58,98200
5,68,80200
12,82,113800
12,61,105800
8,79,91700
7,84,99300
9,72,104000
4,90,80900
6,75,97700
8,80,81500
1,64,71400
13,78,115100
12,70,101000
7,67,89300
2,48,60600
8,77,85900
2,78,75300
12,78,102900
10,92,109500
10,90,107400
13,50,102000
11,64,103300
10,89,99500
4,65,75300
3,87,79000
8,75,106700
4,84,90000
9,84,91300
3,65,58500
4,94,98400
4,71,81700
4,62,78600
4,64,59800
5,83,87400
5,92,89000
6,91,72100
3,84,83300
4,73,80200
2,81,71800
27,93,167100
16,68,122300
11,92,111600
16,98,121200
5,86,81900
12,54,87300
19,67,153200
5,59,83100
8,63,91300
10,62,98300
3,83,83000
7,95,104400
8,49,80800
7,84,86900
12,54,98500
7,86,91600
7,75,85600
9,79,97900
10,73,92000
5,63,74500
11,62,111900
6,60,72900
5,69,81000
3,69,71200
5,64,79300
8,89,100400
3,88,82300
8,61,96300
3,82,79700
6,70,76100
2,81,73700
5,58,80500
9,57,96400
5,90,90200
5,72,76100
4,84,87500
7,96,100900
10,59,88800
15,63,116500
5,95,93400
4,67,73900
10,95,111400
5,77,81000
1,51,48100
19,85,140100
16,57,117600
3,73,71500
9,46,101400
1,66,66200
6,59,68900
3,65,89400
2,62,62600
8,86,100900
12,82,115400
7,77,84900
8,79,94400
2,92,66800
7,77,90900
6,50,79200
8,65,101500
6,60,96800
5,77,81200
5,90,74400
8,86,93600
14,86,111200
10,55,88200
7,80,82800
3,94,80400
6,86,81000
6,70,87700
6,90,87100
6,68,81900
3,78,74000
14,100,133900
8,78,94300
11,79,111300
15,96,127600
4,70,79700
6,84,94300
14,57,127800
3,93,80100
1,100,76100
1,57,59600
2,83,70500
9,60,101600
5,93,78400
5,83,83300
7,91,89700
12,64,103000
11,73,114200
7,72,84100
2,90,73400
7,65,91500
4,74,84100
6,67,82600
9,65,111800
9,56,91000
3,68,73100
3,75,73300
1,70,74200
5,71,79000
1,75,68900
11,79,111000
3,60,56000
17,96,136100
13,75,116100
7,58,80000
9,77,99500
3,79,75500
16,73,111000
8,62,95000
15,68,105400
4,91,79600
9,74,92600
1,68,71600
8,75,85300
6,94,92700
8,73,90300
4,68,73600
7,67,97100
1,67,70400
12,82,114100
4,82,96100
4,89,75300
5,100,98900
18,70,128300
10,40,87400
4,82,87300
6,94,97500
6,81,89200
13,59,115200
4,95,89500
13,100,128900
14,54,124000
6,80,79600
6,76,89000
8,81,108100
6,85,96400
11,100,120200
10,75,116400
7,86,103400
8,81,96400
7,79,96000
2,83,62200
5,73,75700
7,100,97800
13,70,127200
1,100,69100
3,90,75900
3,79,72400
5,83,84000
6,69,87500
4,54,80300
4,67,68700
6,89,86800
8,81,93900
9,71,106400
6,70,87800
6,67,65300
3,76,72300
15,70,108400
6,92,104600
7,99,112200
5,61,89700
1,79,67200
11,84,107900
3,77,82400
2,74,66800
5,47,85600
4,69,74300
9,73,95200
14,47,92800
12,74,101300
24,51,154800
2,79,71800
6,94,100800
20,72,143900
4,96,78300
4,100,87000
13,74,109300
11,80,109600
2,91,80500
8,68,91400
5,79,78800
1,77,68300
15,64,105900
5,58,77700
6,76,71900
6,67,95300
3,71,68000
4,72,63800
15,98,132000
6,77,84500
14,76,110000
8,86,107000
4,71,74200
7,58,87300
5,73,82200
11,65,105200
4,55,65400
5,64,72700
9,67,97900
3,79,62800
14,76,107500
7,77,95000
8,84,87500
17,79,121600
7,88,88200
4,65,78200
7,89,91500
1,78,69400
12,67,103700
4,96,93900
5,59,83800
9,69,85500
10,77,107400
4,63,71700
2,76,86900
9,95,101200
5,71,86600
6,72,91000
14,75,119900
4,77,81600
9,65,100800
12,85,100200
14,75,123400
12,56,111400
14,86,130700
11,75,108400
2,65,78700
15,65,118400
2,97,77300
4,79,59800
4,70,70300
3,64,65400
13,63,118100
9,73,86800
4,74,70200
10,67,89200
5,82,86700
9,71,106600
3,60,61400
6,61,88600
2,65,65500
6,68,89200
7,64,84500
6,63,56200
3,66,89100
8,69,106500
3,71,82700
6,71,82400
5,86,92400
5,77,87100
20,61,131700
6,81,96700
6,95,99900
14,66,108400
4,77,80800
2,63,70900
7,72,92200
3,80,100000
3,64,66400
10,66,121700
26,62,158900
8,73,91700
9,84,117000
8,67,95500
8,80,102700
4,67,76900
11,78,112200
3,62,79600
1,77,57800
22,70,148100
6,73,98400
5,75,89900
7,50,77100
10,96,113200
18,79,138700
10,66,94000
5,91,88300
6,80,94300
19,68,136500
7,87,93100
7,81,101500
5,71,75500
10,63,115500
9,73,117900
12,84,105200
4,70,81600
18,79,133300
17,75,131400
3,64,64900
10,78,104400
7,92,95900
10,81,103200
10,91,108900
7,88,94400
7,81,85600
7,72,83100
7,82,99800
2,75,69000
7,80,97300
5,72,73100
4,53,82100
5,57,70800
7,76,93600
7,81,98400
5,87,78100
11,73,116200
6,83,87200
5,62,61200
9,71,108800
6,88,89700
9,47,102600
5,85,88100
8,74,80600
7,73,89400
8,96,99600
12,76,112200
11,86,123200
1,87,64200
10,71,88600
18,69,140300
6,70,75500
1,70,64500
3,73,68600
19,82,141800
15,52,132100
1,70,63700
10,88,95100
2,79,80600
9,74,104400
9,72,89700
6,68,90800
7,62,91000
13,62,106500
2,79,87600
5,87,58500
10,90,97700
13,79,102300
14,80,123700
6,67,68300
3,68,63000
2,91,71200
9,58,91800
2,78,60000
4,85,90200
9,75,84800
2,76,64000
2,59,74300
20,82,148700
9,50,90900
8,78,82800
6,60,75500
14,78,130400
9,60,97300
2,57,76600
4,72,78100
5,56,75600
7,71,81000
2,51,77400
2,64,75500
11,77,98500
3,86,74300
2,81,69500
5,96,90000
13,71,124200
8,87,99000
10,85,97400
19,78,118100
2,68,72200
6,58,89200
4,76,79800
5,66,65100
17,85,133000
7,80,83500
5,75,77400
15,79,123200
10,72,99200
7,80,96300
16,77,124100
4,91,74300
12,95,106400
6,69,90500
2,84,76600
1,76,62000
9,76,95700
14,67,115300
5,68,81700
11,62,113500
3,65,79100
5,77,81200
4,82,80600
8,86,98900
17,89,135700
6,69,76300
5,80,86100
5,84,90200
1,74,50000
3,47,63000
4,69,81500
4,77,70300
4,82,81000
3,68,68200
17,77,134700
4,74,82800
15,76,135200
14,84,111100
19,64,140700
12,72,97700
7,46,91000
14,59,122200
6,61,72200
2,82,76000
5,75,90200
3,58,77700
11,64,92800
5,68,73200
5,66,93500
4,96,92600
6,79,77200
1,56,49900
12,78,105700
2,83,74400
11,75,124500
10,70,88900
5,53,75200
4,66,85600
6,53,79200
12,69,107700
8,98,95800
11,58,94500
1,64,62700
1,92,73900
0,96,71800
11,83,91500
5,63,70100
11,67,109700
13,98,109100
3,58,60200
15,87,129900
6,76,84400
11,91,95300
9,64,76400
17,93,141300
8,74,101000
4,96,85800
16,52,127000
10,55,96100
10,60,96300
1,58,71200
7,44,72800
9,88,92500
3,92,90900
3,57,68500
6,100,94700
14,72,119700
21,89,150900
3,83,85100
10,82,107200
13,85,119000
12,79,123600
4,71,77800
7,73,94800
5,88,82700
2,83,68600
2,72,72800
4,70,78200
17,75,140500
8,73,89000
5,67,88500
1,84,68700
5,85,90100
8,71,97300
6,68,110500
5,76,84800
3,70,80400
2,93,78400
12,83,102200
3,75,58000
7,73,102400
2,74,71400
7,60,69200
1,79,70400
7,71,87100
9,57,89500
10,65,99100
19,85,130500
1,66,62200
4,74,79900
4,86,69300
4,55,66200
6,72,84900
10,66,111500
12,82,109500
3,46,51600
8,81,85200
15,57,114200
5,64,88400
3,73,70500
8,79,103700
10,66,97300
6,74,91400
6,60,74400
8,94,103700
3,83,73400
6,73,93600
20,84,142400
3,73,86300
6,67,74500
16,86,134500
6,70,75300
16,74,128300
11,84,116300
7,82,94100
2,80,68300
11,77,94800
8,58,81600
7,90,101800
8,88,86200
3,86,90600
8,70,108700
9,62,93200
2,91,69800
6,74,83000
8,85,100300
5,98,92500
4,90,80200
6,100,92800
17,76,136400
4,80,66500
4,75,78500
8,66,95900
16,44,116600
9,91,110700
10,86,115600
4,55,65100
3,79,79000
17,54,126100
8,89,93400
5,83,90200
3,84,83500
6,79,85600
2,77,74200
11,75,113100
2,56,55000
10,81,102300
10,93,108100
2,67,77000
12,85,116400
1,87,71000
5,69,77400
14,47,129200
5,66,72700
11,66,102400
15,77,123700
13,83,113500
4,85,69000
12,77,112900
9,76,99000
7,69,88700
5,93,93300
3,85,88100
5,78,68100
8,71,75700
6,52,91400
2,72,68700
13,80,109600
9,87,112600
4,79,76100
6,66,94700
9,75,96500
11,85,109100
14,66,135000
8,70,88400
11,65,96100
2,97,76900
9,73,90400
6,54,72100
12,81,102700
4,93,88100
14,90,114200
9,95,121400
12,83,118500
3,84,76400
11,88,110100
9,68,96600
3,86,70100
1,79,53700
4,85,83800
8,69,84600
3,97,91600
10,76,106000
6,88,89500
1,79,68800
8,86,98400
3,80,79100
5,64,79800
6,95,100900
5,63,87300
11,84,98800
11,66,109800
4,83,90200
3,100,71300
5,90,88100
13,65,122000
8,59,82600
7,77,86900
10,75,86000
12,73,108400
3,68,71300
3,95,69000
7,80,81000
3,79,69600
3,78,75500
2,83,68200
2,87,60500
0,79,52100
17,80,142300
5,74,88200
5,65,72800
14,58,107400
4,77,82700
8,83,94900
6,59,76800
2,58,65200
4,75,81600
7,68,94100
6,63,83600
8,88,87900
5,57,89800
1,68,60400
5,74,91500
6,79,77700
11,88,125300
6,87,95100
5,76,90300
16,69,130400
10,74,105300
8,78,96600
5,71,83900
12,89,99700
17,65,138100
17,94,124300
8,70,98000
3,64,71600
9,57,88200
5,66,67400
9,82,94100
9,75,99300
10,60,98100
3,56,59100
14,67,103700
5,74,79400
21,68,141300
7,76,85200
6,90,85600
6,98,100200
4,75,73100
17,64,123000
9,75,107800
3,46,38900
5,54,79100
5,74,87600
9,77,99700
6,59,59500
17,72,117400
16,69,89000
6,76,74700
3,73,86400
6,85,88200
7,72,83400
3,66,77900
8,78,89400
3,61,61500
9,69,94800
4,92,80300
8,92,101700
13,95,112100
6,67,86300
6,60,83000
2,62,63400
9,77,96100
1,63,53500
6,65,89800
7,76,94500
7,85,89900
13,77,119100
4,78,70500
6,88,101400
9,90,107400
5,93,79200
2,81,71900
7,81,105000
2,68,71000
4,95,87300
5,87,104900
6,58,76100
6,72,85800
1,84,67800
4,73,82500
6,71,83600
7,83,88000
17,67,136500
0,76,59300
5,69,73100
7,78,100700
2,74,68300
21,89,140800
4,83,94900
5,62,84400
11,87,110500
9,58,91000
11,68,102000
5,68,65700
3,74,67700
3,71,62100
3,92,83100
7,69,91900
9,69,93800
3,73,61000
7,70,72900
4,62,77200
7,74,96000
6,94,83900
8,71,89100
6,78,102600
6,96,85700
11,78,108800
2,87,74500
17,41,122200
11,73,110400
4,55,73500
7,62,88100
11,60,91100
8,62,84400
4,97,84200
15,82,129900
4,62,72600
10,65,91800
2,82,63500
17,78,131900
6,67,89800
5,86,85700
10,88,112400
5,95,86000
6,74,86500
4,86,75700
2,93,78700
7,75,99500
12,67,106500
14,100,127400
7,74,81600
12,77,110700
8,68,112600
14,77,107900
3,55,66700
5,90,84500
5,65,84400
6,89,93600
2,97,84200
17,53,122000
24,57,156400
12,58,105000
5,42,79100
7,61,96900
6,76,94700
2,71,69600
5,68,66500
10,80,97500
8,83,103900
15,65,98600
10,60,112900
1,78,52000
6,100,100500
6,61,88100
8,82,106100
6,81,99900
2,66,65500
6,65,89600
13,65,115400
9,76,96100
12,59,114000
8,80,95100
5,93,105700
11,58,94000
7,70,90200
10,79,109500
12,90,120400
5,70,82000
9,76,93300
14,71,115700
3,78,67300
8,89,96000
5,58,81600
8,89,105200
6,69,88400
2,62,56700
11,67,107700
7,70,95400
16,77,124200
6,55,85200
9,74,108700
2,60,73100
8,78,100100
10,85,117400
4,77,85900
17,100,138400
6,68,84400
9,85,109900
11,71,95800
4,80,71500
13,76,122400
4,84,75100
5,85,96800
8,69,97400
11,99,121000
1,53,67800
5,85,80800
6,84,81300
3,79,79900
5,78,86400
13,76,130800
1,74,61300
9,71,90300
5,63,79100
8,75,99400
16,61,126400
23,76,155100
4,70,69300
5,71,94800
3,66,73800
10,81,98400
12,43,96800
4,84,77900
16,91,137200
5,69,83500
9,65,88100
2,69,80900
5,82,82300
7,77,80400
15,74,115100
8,81,95800
13,77,113100
6,89,104100
6,76,78000
15,54,111500
9,70,88200
3,91,85800
17,68,134600
5,90,90100
6,66,83800
7,79,98400
9,82,113900
2,84,67400
9,77,100600
8,75,97800
2,59,73900
5,72,75600
6,82,72300
7,82,102900
10,73,96100
2,84,78600
9,88,111800
4,76,86600
4,82,82200
13,76,115500
12,77,110300
4,80,90300
3,70,71000
8,62,86900
10,66,101200
6,71,101700
6,100,98100
9,65,87300
12,90,118500
13,77,123000
9,51,89900
4,75,77200
9,75,109900
4,69,83900
4,79,84600
5,66,67800
5,78,84800
4,83,86200
3,74,79800
3,71,66200
5,65,88900
3,100,75500
4,64,75600
11,66,101300
15,93,135400
10,80,98500
2,88,76300
7,100,88400
4,64,78000
7,89,82100
12,65,111700
3,71,78700
3,82,74200
6,90,112100
0,54,44600
4,80,83800
3,74,80700
5,76,75600
12,62,111200
23,84,160400
13,65,110500
4,100,94200
10,69,104800
5,81,87500
5,61,63800
7,75,93400
11,61,109100
10,79,108200
15,67,116300
8,90,100600
3,73,74900
5,54,72500
8,72,83700
13,60,102500
25,89,169300
7,77,88000
4,66,84000
3,61,60300
3,78,77200
6,84,98100
14,74,123600
18,68,134600
4,69,65000
1,79,55600
12,56,96300
8,64,87500
11,81,110700
9,54,88400
17,75,134400
3,89,75700
2,72,71600
4,80,81400
18,59,118400
20,84,150900
11,83,95100
7,89,104000
3,83,85800
3,77,60200
11,75,103900
6,93,89800
9,87,101100
11,62,97000
8,78,86400
2,69,80800
5,80,83100
8,85,98200
4,59,63500
8,85,107600
3,59,60900
5,76,77100
10,70,105700
9,80,99000
4,100,84600
12,98,118100
9,65,83800
4,71,76100
3,80,91000
9,54,93400
9,52,81100
8,67,103600
7,68,89800
3,59,57800
4,86,85000
14,79,127300
12,85,107900
8,65,87300
7,52,75200
6,65,96700
14,74,116400
24,87,154800
3,76,68100
10,69,97700
5,72,88100
14,89,115900
10,65,92900
6,60,87300
13,67,119100
5,72,66200
9,67,101900
3,74,76100
10,77,103000
13,91,120200
9,83,106900
13,96,119700
8,90,112000
11,75,117000
5,67,81200
6,87,73900
2,84,68400
7,58,80900
10,85,110000
14,67,113600
12,74,115100
10,73,91300
12,64,116200
3,64,70900
13,82,117100
10,65,101700
6,77,94900
3,93,77800
2,77,77000
15,68,110000
19,75,125900
9,83,101900
9,92,110000
2,58,55600
5,83,79700
3,73,67100
3,69,87200
4,56,73400
5,58,71100
6,99,95300
8,76,94300
3,82,77000
3,91,75200
3,93,85500
4,62,72900
13,90,129400
5,68,80100
8,76,85200
5,67,70300
3,66,71700
9,70,90100
7,87,83900
12,81,124200
4,74,80600
5,63,70300
12,84,117900
11,73,117300
13,78,110000
2,68,78200
3,45,67900
6,85,87300
10,78,91800
5,97,79400
5,72,78600
5,75,88100
3,62,65100
7,79,81300
7,73,87700
14,94,125500
4,54,58200
4,51,61800
4,72,73900
6,79,83700
23,57,157300
3,70,70000
4,82,72800
4,66,92200
16,57,131800
12,76,115400
9,65,108700
5,72,81100
4,77,74700
13,78,123700
4,66,81700
10,51,103800
16,73,127700
5,79,90800
13,82,119800
11,89,117000
2,80,79400
8,80,88200
2,50,70900
18,82,146600
5,58,80400
11,73,121100
13,76,122400
13,99,132800
2,62,66900
5,85,85900
10,60,89900
5,82,103900
7,73,88600
2,67,71600
7,74,95600
2,63,55100
5,78,76800
2,88,90100
9,77,96100
9,83,107200
5,82,83300
4,73,73200
13,82,120100
4,67,80500
2,57,70600
3,75,70600
3,77,66300
5,88,90300
6,76,92600
5,69,83200
9,78,91400
8,92,106600
6,64,85200
9,80,96100
17,86,139900
6,100,93600
12,53,104100
5,93,77600
3,73,73400
4,75,71000
10,56,100800
3,77,75300
3,78,78900
19,62,127900
7,71,84600
9,65,93300
13,63,108600
7,64,84200
5,65,66100
3,78,80400
7,68,92200
5,76,84400
19,67,136000
11,63,88900
1,66,47400
4,85,73100
10,93,113400
3,71,79000
6,73,98400
16,79,126900
4,96,70700
2,85,67800
4,64,73700
12,63,106400
9,83,106300
26,68,168300
6,74,98700
1,71,59300
4,69,75000
3,85,77500
3,81,69600
4,96,75400
13,88,120700
9,98,115300
7,100,97200
7,89,93700
6,89,96100
19,85,137200
8,89,100500
8,73,99700
7,80,90100
5,88,98600
6,71,94800
8,70,98900
8,80,74800
4,71,73000
13,75,98700
13,80,127400
17,56,118200
3,65,56800
12,62,103600
5,94,92100
5,74,81400
15,79,135300
5,80,84400
7,74,103400
3,72,76900
11,65,93900
7,76,89500
6,90,78400
9,90,96100
13,74,108500
4,69,83000
2,66,60600
3,87,72300
6,70,79000
6,80,87400
2,76,67700
5,100,101300
8,87,95700
7,73,101300
20,78,146600
16,95,132100
5,84,77300
1,96,77700
5,96,89800
3,85,89800
6,56,73300
25,88,170500
14,52,110600
5,75,82100
11,81,104500
4,78,76300
7,77,89000
3,79,81000
10,83,97100
8,69,92600
6,64,93600
6,82,91800
13,60,115600
10,96,102600
11,84,113700
4,76,67300
9,73,112400
6,67,95700
10,79,111500
3,83,55300
9,77,116500
14,87,118500
3,95,72800
4,60,63000
10,85,99200
10,93,108900
2,81,74400
9,72,92000
4,71,69700
0,85,62800
5,86,83900
3,66,75300
9,100,113100
5,85,81600
7,69,78400
3,57,61600
3,65,57200
12,82,105900
5,83,82700
6,78,80300
10,83,98600
5,84,83800
5,76,98100
15,68,122300
9,72,91600
9,73,100300
19,82,150600
16,81,118700
7,93,89300
2,63,73700
11,64,100800
8,83,95000
9,78,102700
7,88,90400
10,63,103000
9,44,85900
6,76,67600
8,70,91900
6,95,78200
6,65,94100
9,64,116100
7,97,102200
4,97,71800
19,85,135200
9,60,96400
2,69,66500
14,72,127100
13,59,100800
9,80,101800
4,85,86800
1,66,60100
5,80,80800
12,61,98900
9,78,87600
10,67,105100
4,70,87900
5,69,82700
6,74,105600
2,89,81000
4,76,89700
3,77,66600
11,91,105900
5,85,76600
20,72,151900
2,70,79000
